Date,Link,Message
2023-11-16 15:14:20,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7130559530303635457,Hola Mica! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te puede interesar! Tambien te dejo nuestra base de datos para que puedas cargar tu CV: https://hiringroom.com/jobs/get_vacancy/6055fe1bfccb5440c113f280/candidates/new

Suerte en la busqueda! 🤗 
2023-11-10 18:37:04,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7126781717092126720,"Hola Claudio! Buen día! Te cuento que en Cosys Global | Grupo KELSOFT tenemos una vacante disponible para WordPress Developer (freelance), quizas te interesa! Te dejo el link para que le des un vistazo: https://cosys.hiringroom.com/jobs/get_vacancy/6532cd3947100f8f451dfc8b"
2023-11-10 18:34:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6990655438358761472,"Hola Tomás! Buen día! Te cuento que en Cosys Global | Grupo KELSOFT tenemos una vacante disponible para WordPress Developer (freelance), quizas te interesa! Te dejo el link para que le des un vistazo: https://cosys.hiringroom.com/jobs/get_vacancy/6532cd3947100f8f451dfc8b"
2023-10-26 19:44:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7122303189105713152,"Hola Kevin, es para Argentina este puesto, pero te recomiendo seguir a Cosys Global | Grupo KELSOFT donde publicamos las vacantes disponibles para otros países! Suerte en la búsqueda 🙌"
2023-10-24 15:09:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7122303189105713152,Hola Frank! Me alegra tu interés! Te invito a que te postules enviando tu CV al siguiente link: https://cosys.hiringroom.com/jobs/get_vacancy/6532cd3947100f8f451dfc8b
2023-10-16 15:55:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7119687565481324544,"Me encanta, es una hermosa visión de las personas como seres senti-pensantes 🤍"
2023-09-27 20:44:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112831648802516992,¡Hola Martina! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-27 20:43:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108585322782818304,¡Hola Gaspar! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-27 20:40:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7111143016018362368,¡Hola Dennys! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-22 19:39:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108146895847370752,Hola León! Como estas? Te cuento que formo parte de Cosys Global | Grupo KELSOFT y nos encantaría poder recibir tu CV. Te dejo la publicación acá https://cosys.hiringroom.com/jobs
2023-09-22 19:35:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7110589976018362370,Hola Juan! Como estas? Nos encantaría poder recibir tu CV. Te dejo la publicación acá https://cosys.hiringroom.com/jobs
2023-09-20 20:45:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110290683730522113,¡Hola Nick! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-20 20:39:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108503002277195776,¡Hola Esteban! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-20 20:37:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110200931958284288,¡Hola Mateo! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-18 19:05:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109566047623528448,¡Hola Mauro! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que te pueden interesar! ¡Muchos éxitos!
2023-09-18 19:03:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109531331490922496,¡Hola Pablo! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que puede interesarte! ¡Éxitos en la búsqueda!
2023-09-18 19:03:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109512781195882497,¡Hola Gustavo! Te invito a seguirnos en Cosys Global | Grupo KELSOFT para descubrir nuestras vacantes e información IT que puede interesarte! ¡Éxitos en la búsqueda!
